execucao_id,cenario,familia_intencionada,classe,ids,n_alertas,n_corretos,n_errados,familias_detectadas,rotulo,familia_prevista
campanha02-benigno-ssh-benigno-r07,benigno-ssh,ssh,benigno,suricata,0,0,0,-,TN,-
campanha02-benigno-ssh-benigno-r07,benigno-ssh,ssh,benigno,snort,0,0,0,-,TN,-
campanha02-benigno-ssh-benigno-r07,benigno-ssh,ssh,benigno,zeek,0,0,0,-,TN,-
campanha02-udp-flood-malicioso-r04,udp-flood,flood-udp,malicioso,suricata,31341,31341,0,flood-udp,TP,flood-udp
campanha02-udp-flood-malicioso-r04,udp-flood,flood-udp,malicioso,snort,18843,18843,0,flood-udp,TP,flood-udp
campanha02-udp-flood-malicioso-r04,udp-flood,flood-udp,malicioso,zeek,12000,11999,0,flood-udp;nao-mapeado,TP,flood-udp
campanha02-xss-scanner-malicioso-r13,xss-scanner,xss,malicioso,suricata,561,2,326,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r13,xss-scanner,xss,malicioso,snort,540,2,265,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r13,xss-scanner,xss,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-xss-scanner-malicioso-r08,xss-scanner,xss,malicioso,suricata,598,2,351,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r08,xss-scanner,xss,malicioso,snort,528,2,253,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r08,xss-scanner,xss,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-xss-scanner-malicioso-r11,xss-scanner,xss,malicioso,suricata,530,2,310,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r11,xss-scanner,xss,malicioso,snort,525,2,250,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r11,xss-scanner,xss,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-ssh-bruteforce-malicioso-r14,ssh-bruteforce,ssh-brute,malicioso,suricata,0,0,0,-,FN_PURO,NENHUM
campanha02-ssh-bruteforce-malicioso-r14,ssh-bruteforce,ssh-brute,malicioso,snort,0,0,0,-,FN_PURO,NENHUM
campanha02-ssh-bruteforce-malicioso-r14,ssh-bruteforce,ssh-brute,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-ssh-bruteforce-malicioso-r12,ssh-bruteforce,ssh-brute,malicioso,suricata,0,0,0,-,FN_PURO,NENHUM
campanha02-ssh-bruteforce-malicioso-r12,ssh-bruteforce,ssh-brute,malicioso,snort,0,0,0,-,FN_PURO,NENHUM
campanha02-ssh-bruteforce-malicioso-r12,ssh-bruteforce,ssh-brute,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-udp-flood-malicioso-r07,udp-flood,flood-udp,malicioso,suricata,21933,21933,0,flood-udp,TP,flood-udp
campanha02-udp-flood-malicioso-r07,udp-flood,flood-udp,malicioso,snort,16519,16519,0,flood-udp,TP,flood-udp
campanha02-udp-flood-malicioso-r07,udp-flood,flood-udp,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
campanha02-xss-scanner-malicioso-r04,xss-scanner,xss,malicioso,suricata,580,2,333,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r04,xss-scanner,xss,malicioso,snort,558,2,283,dos-http;flood-syn;nao-mapeado;xss,TP,xss
campanha02-xss-scanner-malicioso-r04,xss-scanner,xss,malicioso,zeek,0,0,0,-,FN_PURO,NENHUM
